BizDay,Conversion
2017-06-26,8.473000
2017-06-27,8.441200
2017-06-28,8.441300
2017-06-29,8.385200
2017-06-30,8.387000
2017-07-03,8.361800
2017-07-04,8.354600
2017-07-05,8.382500
2017-07-06,8.370500
2017-07-07,8.378300
2017-07-10,8.357300
2017-07-11,8.340200
2017-07-12,8.270400
2017-07-13,8.278700
2017-07-14,8.221000
2017-07-17,8.162400
2017-07-18,8.054100
2017-07-19,8.065400
2017-07-20,8.097500
2017-07-21,8.015400
2017-07-24,8.029300
2017-07-25,7.955800
2017-07-26,7.977800
2017-07-27,7.950900
2017-07-28,7.945700
2017-07-31,7.934700
2017-08-01,7.902400
2017-08-02,7.904700
2017-08-03,7.906200
2017-08-04,7.888300
2017-08-07,7.951200
2017-08-08,7.891100
2017-08-09,7.961600
2017-08-10,7.957300
2017-08-11,7.987700
2017-08-14,7.923900
2017-08-15,7.964700
2017-08-16,7.951800
2017-08-17,7.971500
2017-08-18,7.937200
2017-08-21,7.899200
2017-08-22,7.902700
2017-08-23,7.893000
2017-08-24,7.842200
2017-08-25,7.814900
2017-08-28,7.766900
2017-08-29,7.712100
2017-08-30,7.791600
2017-08-31,7.846900
2017-09-01,7.764700
2017-09-04,7.806200
2017-09-05,7.803900
2017-09-06,7.775100
2017-09-07,7.763600
2017-09-08,7.719200
2017-09-11,7.811100
2017-09-12,7.843200
2017-09-13,7.845600
2017-09-14,7.904900
2017-09-15,7.803100
2017-09-18,7.818000
2017-09-19,7.803200
2017-09-20,7.782100
2017-09-21,7.813900
2017-09-22,7.791400
2017-09-25,7.813700
2017-09-26,7.876700
2017-09-27,7.951200
2017-09-28,7.944900
2017-09-29,7.972600
2017-10-02,7.984500
2017-10-03,7.988200
2017-10-04,7.935300
2017-10-05,7.962900
2017-10-06,8.005500
2017-10-09,7.984700
2017-10-10,7.946500
2017-10-11,7.928100
2017-10-12,7.894800
2017-10-13,7.907700
2017-10-16,7.890600
2017-10-17,7.930900
2017-10-18,7.964500
2017-10-19,7.959300
2017-10-20,7.966200
2017-10-23,7.996800
2017-10-24,7.982600
2017-10-25,8.008700
2017-10-26,8.071600
2017-10-27,8.216100
2017-10-30,8.167400
2017-10-31,8.183400
2017-11-01,8.147600
2017-11-02,8.144100
2017-11-03,8.136100
2017-11-06,8.143200
2017-11-07,8.177000
2017-11-08,8.173400
2017-11-09,8.128500
2017-11-10,8.114000
2017-11-13,8.142800
2017-11-14,8.167100
2017-11-15,8.235600
2017-11-16,8.202600
2017-11-17,8.237600
2017-11-20,8.258900
2017-11-21,8.268500
2017-11-22,8.232400
2017-11-23,8.135800
2017-11-24,8.134000
2017-11-27,8.160400
2017-11-28,8.197300
2017-11-29,8.236200
2017-11-30,8.304300
2017-12-01,8.309000
2017-12-04,8.315900
2017-12-05,8.291400
2017-12-06,8.257200
2017-12-07,8.272800
2017-12-08,8.317600
2017-12-11,8.377800
2017-12-12,8.349900
2017-12-13,8.371900
2017-12-14,8.255200
2017-12-15,8.286300
2017-12-18,8.357200
2017-12-19,8.362900
2017-12-20,8.331200
2017-12-21,8.410300
2017-12-22,8.349200
2017-12-27,8.289600
2017-12-28,8.268000
2017-12-29,8.205000
2018-01-02,8.101800
2018-01-03,8.104500
2018-01-04,8.094100
2018-01-05,8.087800
2018-01-08,8.083400
2018-01-09,8.105500
2018-01-10,8.042700
2018-01-11,8.049800
2018-01-12,7.958300
2018-01-15,7.877200
2018-01-16,7.874700
2018-01-17,7.884900
2018-01-18,7.847400
2018-01-19,7.853400
2018-01-22,7.862000
2018-01-23,7.868400
2018-01-24,7.794300
2018-01-25,7.726100
2018-01-26,7.691800
2018-01-29,7.718600
2018-01-30,7.698900
2018-01-31,7.676000
2018-02-01,7.681600
2018-02-02,7.657900
2018-02-05,7.725700
2018-02-06,7.868000
2018-02-07,7.830900
2018-02-08,7.905600
2018-02-09,7.983600
2018-02-12,7.948700
2018-02-13,7.899000
2018-02-14,7.867500
2018-02-15,7.792400
2018-02-16,7.767200
2018-02-19,7.782000
2018-02-20,7.834900
2018-02-21,7.831400
2018-02-22,7.892900
2018-02-23,7.868100
2018-02-26,7.816800
2018-02-27,7.827800
2018-02-28,7.872400
2018-03-01,7.936900
2018-03-02,7.811700
2018-03-05,7.827700
2018-03-06,7.745500
2018-03-07,7.793800
2018-03-08,7.820200
2018-03-09,7.806400
2018-03-12,7.774800
2018-03-13,7.740200
2018-03-14,7.739300
2018-03-15,7.704200
2018-03-16,7.715600
2018-03-19,7.734600
2018-03-20,7.727500
2018-03-21,7.734700
2018-03-22,7.738600
2018-03-23,7.752700
2018-03-26,7.703900
2018-03-27,7.724900
2018-03-28,7.777300
2018-04-03,7.827300
2018-04-04,7.848200
2018-04-05,7.820100
2018-04-06,7.835500
2018-04-09,7.792800
2018-04-10,7.804400
2018-04-11,7.769100
2018-04-12,7.788100
